Claim ID,Date of Claim,Claim Amount,Claim Status,Reason for Claim,Settlement Date,Policy ID
CLM25700121,09-06-2021,68232,Pending,Control pay provide TV heart family parent voice.,,POL33741751
CLM91985611,22-01-2022,48499,Approved,Notice let explain thousand ahead his policy.,,POL89664710
CLM25794281,21-12-2022,10242,Denied,Something sure talk side recent life reality.,,POL96350038
CLM17238209,29-04-2021,79573,Pending,Form just any official strong.,,POL42164624
CLM34265046,14-10-2020,49264,Pending,Seven but community sister suffer attorney become.,25-11-2020,POL19285022
CLM69698792,30-04-2022,2679,Pending,Exactly lawyer dark ground former anyone.,13-05-2022,POL59539217
CLM28821536,21-05-2021,94909,Denied,We manager response pattern figure require whole.,23-06-2021,POL76204779
CLM85830171,14-08-2023,81748,Pending,Son section quite who better many.,08-09-2023,POL77001429
CLM05484947,15-09-2022,71172,Denied,Green go term thousand a.,,POL32150481
CLM83136750,29-04-2022,78044,Pending,Study despite discuss spring woman.,15-05-2022,POL43653022
CLM60359188,19-11-2023,63925,Approved,Fact two movie.,31-01-2024,POL42638741
CLM32564041,03-08-2021,36143,Denied,Professor above leader like similar in brother.,,POL18546067
CLM75607371,02-08-2024,36275,Approved,Low school government maybe.,,POL91286503
CLM37682659,01-02-2020,81340,Approved,Tv head oil heart draw main.,,POL02523874
CLM86488501,06-06-2020,95994,Pending,Voice know energy big painting available pick.,,POL44670716
CLM48900525,24-10-2021,15672,Pending,Class commercial kitchen least.,,POL21820155
CLM43969242,01-06-2024,24603,Denied,Hospital explain standard edge.,,POL94226268
CLM38102894,11-04-2024,62425,Approved,Fund avoid worry nature.,15-06-2024,POL32906837
CLM37619187,21-03-2023,77712,Denied,Human wife administration tend effect dog.,,POL12388538
CLM52888747,11-12-2024,14935,Approved,Place think course conference while.,04-02-2025,POL88351498
CLM03022144,23-05-2022,9713,Denied,Sister guess nor individual thing around agency.,31-07-2022,POL78045083
CLM14784106,11-04-2020,81054,Denied,Among throughout raise ago administration.,,POL81678751
CLM05979841,29-05-2023,54894,Pending,Establish here just left yeah sound.,05-08-2023,POL06589548
CLM31484140,23-07-2024,30664,Denied,Method individual sign argue choice speak difficult war.,09-10-2024,POL18868459
CLM73109136,03-05-2020,29922,Denied,Vote young evidence sit century partner cultural.,,POL69129432
CLM70049447,01-11-2022,13562,Denied,International member build be onto form.,13-01-2023,POL32734237
CLM62642237,27-08-2022,42018,Denied,Arrive resource need experience radio modern.,,POL48533616
CLM59020823,26-08-2023,92364,Approved,Yeah others though Mrs phone ability pretty cost.,13-09-2023,POL78474617
CLM11180539,06-03-2021,35544,Pending,Subject mission director beat born.,04-05-2021,POL26187162
CLM50101469,11-06-2022,58647,Pending,Best think line husband begin determine special.,,POL74112485
CLM54436017,06-05-2024,92348,Denied,Worker democratic others goal.,12-06-2024,POL58974752
CLM22403582,13-11-2020,19686,Approved,Since then spend trip community.,13-01-2021,POL10829873
CLM01615052,24-04-2021,3819,Pending,Education learn sense central send.,05-07-2021,POL34279255
CLM57330802,12-09-2021,26139,Pending,Respond heart statement step.,07-10-2021,POL26441179
CLM88308682,06-04-2022,84546,Approved,Player goal act time.,,POL86921629
CLM19109746,08-03-2022,8283,Pending,Investment away girl source sport human hit.,19-05-2022,POL94321832
CLM19658268,10-01-2021,41721,Pending,Purpose truth discover leave lay for information anything.,17-03-2021,POL70701103
CLM56777416,28-04-2020,15109,Approved,Those bit history relationship.,,POL15359694
CLM28162875,05-05-2021,99623,Approved,Kind including forget.,04-07-2021,POL59886107
CLM56977206,17-06-2024,67346,Pending,Skill minute once what unit brother fly bed.,02-09-2024,POL98885285
CLM36588399,12-02-2020,34015,Denied,Population guess voice much list half easy.,04-04-2020,POL99672508
CLM48637067,21-10-2020,79835,Denied,Stop race green moment.,29-12-2020,POL55128968
CLM63948130,05-01-2023,49278,Denied,Worker man every whole today message quickly.,,POL16384443
CLM91843970,11-02-2020,77336,Pending,Star animal sing.,,POL71149711
CLM42903433,02-12-2021,64858,Approved,Respond method training mind out.,,POL79310767
CLM76008508,30-09-2023,39214,Approved,Science guess similar summer become party.,24-11-2023,POL91712276
CLM85772212,02-10-2023,89269,Pending,Report a course anything agency wind determine.,,POL11554162
CLM47680737,15-03-2024,26883,Approved,Operation senior career official.,29-04-2024,POL00517693
CLM14778997,05-06-2024,84641,Pending,Central message she charge any open.,05-07-2024,POL35541554
CLM57097876,08-10-2023,94282,Pending,Someone plant attorney hot.,,POL77178021
CLM55440168,15-09-2024,23057,Pending,Play will require trial impact.,23-10-2024,POL46952826
CLM77643457,07-04-2023,76040,Denied,However address leave less individual.,10-06-2023,POL57420005
CLM99664207,01-11-2021,57783,Denied,Political really production.,30-12-2021,POL65765097
CLM13704389,25-04-2021,84454,Approved,Decide price son budget light.,,POL32302882
CLM24900199,22-01-2020,54886,Denied,Ready feeling over check.,14-04-2020,POL78449319
CLM89581852,22-09-2022,2468,Denied,Sense only action image.,10-11-2022,POL46435605
CLM71352323,07-10-2022,41885,Approved,One those skin three recent throw.,,POL64841687
CLM48020433,02-06-2022,73617,Pending,Class enough area benefit increase.,05-07-2022,POL39477201
CLM89296537,22-06-2022,53779,Denied,Hospital produce become father get hair TV hair.,06-07-2022,POL82494167
CLM79801515,17-05-2023,90804,Pending,Girl door prove campaign.,13-06-2023,POL31127949
CLM99799552,25-06-2024,97630,Denied,Century travel education ground stand church.,05-09-2024,POL76048134
CLM25485378,28-11-2021,10296,Denied,Turn bag season send and.,,POL61062551
CLM98647811,31-07-2022,63773,Pending,Senior everyone here everybody election return there.,10-08-2022,POL96972550
CLM02021855,18-12-2020,20385,Approved,Travel alone throw hand car account wind.,18-03-2021,POL21603808
CLM67174411,13-10-2024,3883,Approved,One movie finally yet.,25-12-2024,POL17984911
CLM30742983,04-06-2020,32847,Approved,Impact may trouble heart.,23-06-2020,POL83116097
CLM51453824,05-03-2022,84505,Approved,People million us send system article turn pick.,28-05-2022,POL52358331
CLM13912628,07-12-2020,36508,Pending,Way arrive usually into.,15-01-2021,POL08758463
CLM23715129,04-10-2023,51688,Pending,Subject fight job mission report art.,08-11-2023,POL49101853
CLM66674986,15-08-2021,41695,Pending,Would up scene think against five early behavior.,26-08-2021,POL95668571
CLM64468053,02-01-2020,75677,Pending,Although create phone quickly particular.,01-03-2020,POL28794187
CLM98662999,05-06-2020,25449,Denied,General item she.,,POL76182613
CLM96075414,29-06-2023,55481,Denied,Air pull brother realize process wide course.,01-09-2023,POL39477201
CLM99187916,20-09-2023,43111,Pending,Sure hard paper natural according.,26-11-2023,POL81367269
CLM78911648,21-07-2020,97932,Denied,Director fund method your effort join.,08-08-2020,POL57724014
CLM99630319,12-11-2022,52670,Denied,Tend make recent future environmental week.,03-01-2023,POL24582838
CLM43437748,25-04-2023,79900,Approved,Social side relationship fund lead prepare.,06-05-2023,POL96832435
CLM77782646,01-04-2024,21187,Approved,Theory strategy language defense.,30-05-2024,POL09444948
CLM37273757,02-05-2022,1790,Pending,Speak manager couple maybe use front.,24-07-2022,POL98433170
CLM87375738,24-05-2024,19226,Approved,Beat in public reach.,12-07-2024,POL11905173
CLM19852184,20-05-2022,4239,Denied,Arm fill spring town list white.,16-06-2022,POL26378825
CLM26678253,20-03-2024,26061,Pending,Learn wish college there here young concern.,03-05-2024,POL41122818
CLM00300784,24-12-2021,70085,Denied,Again movie although college start return marriage.,15-03-2022,POL54561530
CLM02489680,08-02-2022,81417,Denied,Word manager national play next.,11-04-2022,POL06489280
CLM04607424,07-06-2020,36803,Pending,Address week subject.,30-07-2020,POL87674982
CLM62315965,04-03-2023,12033,Pending,Heart could world western chance mission.,21-03-2023,POL98161265
CLM09354106,01-08-2022,87766,Pending,Window road drive less conference similar address.,,POL98942710
CLM12204303,27-05-2020,61773,Pending,Save there school black government available hotel.,07-06-2020,POL11516583
CLM74465500,14-12-2022,38638,Approved,There such pick it skill school.,,POL74568057
CLM21945175,16-02-2022,14455,Approved,Away I inside eat need near behind current.,05-03-2022,POL16045417
CLM34872817,13-12-2021,22668,Pending,Early case determine ground plan clearly.,,POL61380833
CLM80749290,20-02-2021,89631,Approved,Term still building treat these stay.,02-05-2021,POL55941578
CLM73398175,01-05-2023,5942,Approved,Between approach sometimes successful example.,19-06-2023,POL62266023
CLM12228410,26-06-2020,82858,Approved,Tough management must if human human begin.,24-08-2020,POL39487176
CLM95989270,15-11-2021,9759,Denied,Direction often something today.,09-01-2022,POL25852828
CLM53949859,25-06-2022,51243,Pending,Blood when must local.,14-07-2022,POL35135678
CLM41132530,28-07-2022,87510,Approved,Particular PM enter operation usually.,,POL09444948
CLM35802657,27-02-2020,33984,Approved,Word condition effect law form establish.,,POL21535465
CLM81377007,30-01-2020,69872,Approved,Able food everyone anyone interesting little condition history.,22-04-2020,POL80084188
CLM03921072,24-06-2021,5435,Approved,Watch after sort local rich soldier gun sign.,27-08-2021,POL00447395
CLM59275268,30-03-2024,30911,Pending,Ready successful able interview stage question ready.,27-06-2024,POL36575612
CLM29003574,25-11-2020,82663,Denied,No expert society college environment economic.,,POL17760836
CLM97719516,17-01-2022,78551,Approved,Cultural article expect difference begin.,11-03-2022,POL18819689
CLM12364134,04-07-2021,33987,Approved,Big answer if call team.,14-07-2021,POL79694527
CLM33886504,06-07-2020,46404,Denied,Citizen section policy maybe report allow oil.,14-09-2020,POL55938009
CLM76846097,23-01-2020,13115,Denied,A meet something reflect network keep.,16-04-2020,POL09014096
CLM61795908,17-02-2024,65540,Denied,Much keep keep by kind wind.,18-04-2024,POL45410336
CLM49046369,10-12-2020,95224,Denied,Science east present country apply.,10-01-2021,POL83671253
CLM14803972,28-04-2021,65701,Pending,Question say kid civil opportunity girl public.,13-05-2021,POL52956070
CLM76692077,26-03-2022,71160,Denied,South low just fine avoid.,06-04-2022,POL97116121
CLM29770327,02-02-2024,22872,Pending,At into feeling ago defense.,11-04-2024,POL83559583
CLM34979537,10-12-2020,18847,Pending,Police tough sea score.,08-03-2021,POL59534833
CLM22985131,12-03-2024,3858,Denied,Important focus real perform.,28-04-2024,POL92754721
CLM21581596,03-02-2021,12482,Pending,Agency upon write current set machine down.,16-03-2021,POL78634856
CLM49939812,03-08-2024,38170,Approved,Here woman successful build whom.,25-10-2024,POL66555161
CLM52721867,06-12-2023,14086,Pending,Rich law support ground decide act live.,22-12-2023,POL95686589
CLM25081250,16-01-2020,67631,Denied,Chance effort free.,31-03-2020,POL82205448
CLM48237068,13-06-2024,67405,Pending,Police million floor.,28-08-2024,POL69578293
CLM27482498,31-10-2021,65168,Approved,Forget item thank candidate organization decide.,18-12-2021,POL30949010
CLM93432597,27-08-2023,65481,Pending,Significant need win forget color significant.,01-11-2023,POL70622668
CLM25624515,12-01-2023,12491,Pending,Federal either which together job.,20-02-2023,POL97931166
CLM82653150,31-10-2023,44224,Denied,Value money role spring son sure nature.,09-01-2024,POL43919084
CLM90464945,07-04-2023,91793,Denied,Nothing how teach write again actually base.,10-05-2023,POL67383698
CLM27253981,11-11-2021,72174,Approved,City one seven first event better.,,POL19469435
CLM12760089,23-04-2021,84473,Approved,Base one once message form.,03-07-2021,POL24046541
CLM83507197,31-01-2020,59959,Approved,Sometimes every position north debate claim.,,POL61315068
CLM86771904,22-08-2023,81077,Denied,Moment contain accept score suggest type game.,10-09-2023,POL88358873
CLM63783163,13-09-2020,69917,Denied,Never loss Democrat popular Mrs lose.,05-12-2020,POL00638794
CLM12663915,07-01-2023,63674,Denied,Yet maybe go pull follow girl.,,POL35985478
CLM45602407,11-06-2021,52507,Approved,Analysis impact yet return rather necessary.,19-07-2021,POL49745850
CLM74271420,07-01-2024,70111,Denied,Cover indeed discuss across accept.,,POL53957372
CLM41893385,11-05-2024,49616,Denied,Enjoy possible house discussion international series under without.,22-05-2024,POL29803500
CLM63363922,13-12-2020,11022,Pending,Thousand within through station step alone.,,POL50620318
CLM94968267,26-01-2024,78310,Denied,Police account window.,24-04-2024,POL60442059
CLM41900416,14-01-2022,89242,Denied,Such attention necessary truth understand anything.,31-03-2022,POL08922259
CLM06559145,22-04-2021,5816,Approved,Pay start forget child right school magazine.,07-06-2021,POL56375042
CLM35282653,19-06-2023,38846,Denied,Until candidate fight the notice nation think action.,,POL14929560
CLM25170536,19-03-2024,44080,Pending,Rise democratic hope goal people back.,17-04-2024,POL06742969
CLM33618261,05-02-2021,67595,Approved,Country character exist once then kitchen.,09-04-2021,POL68080704
CLM72995177,25-10-2021,13469,Pending,Police level example car whatever laugh yet.,,POL24523489
CLM21114596,15-01-2024,99866,Approved,Western radio light activity.,,POL09783846
CLM41302575,29-10-2020,88009,Denied,Easy phone board because receive raise several.,23-12-2020,POL83312613
CLM69427632,18-07-2021,21209,Approved,Other raise dinner better rise action.,29-07-2021,POL00668082
CLM38499619,11-10-2022,35345,Denied,Leg enjoy seem theory crime top.,30-10-2022,POL25507617
CLM99700858,08-03-2021,3528,Pending,Agent right conference involve miss.,03-05-2021,POL21505451
CLM74357335,15-10-2021,24374,Pending,Interview seat get little.,,POL56700369
CLM39195867,28-06-2023,66489,Denied,Possible natural news everyone despite.,,POL32942067
CLM27760027,04-06-2024,53434,Denied,Feel industry west onto number.,26-06-2024,POL79185105
CLM07385877,05-07-2023,40867,Denied,City see modern experience growth analysis authority.,26-09-2023,POL04331178
CLM84927778,17-02-2020,75308,Denied,Company million get south.,,POL72353827
CLM42778981,25-08-2021,87377,Pending,Cell high person family get difficult school.,21-10-2021,POL64599261
CLM56218481,10-08-2023,22332,Pending,Current few name energy east.,31-08-2023,POL67871269
CLM05601746,06-01-2021,86368,Denied,Off hair big shoulder.,,POL82947020
CLM40879916,09-02-2021,5091,Denied,Art television couple seem medical sign movie.,05-04-2021,POL75778354
CLM63887571,08-08-2021,95402,Approved,Reality other image apply peace.,10-09-2021,POL90801398
CLM38002832,24-03-2020,23327,Denied,Past large herself still alone.,,POL03891541
CLM06358452,27-02-2024,93348,Denied,Magazine often future finish these.,14-05-2024,POL53216568
CLM28808424,23-05-2024,85574,Denied,She article do keep degree expect young important.,07-07-2024,POL49082754
CLM70300033,28-03-2023,49319,Denied,Travel discuss trip enough detail.,,POL00464071
CLM98585756,20-11-2024,80489,Denied,Effect green term sister.,,POL29760380
CLM43728140,27-02-2023,70971,Pending,World red usually mention anything way.,,POL20726693
CLM76367101,19-11-2023,28884,Pending,Explain education seem.,17-02-2024,POL71504244
CLM78027210,30-10-2024,29149,Pending,Particular true head painting center when.,,POL74554228
CLM78872814,02-08-2021,37420,Denied,Include season full wish society same land send.,18-09-2021,POL32160258
CLM97294991,30-09-2024,59448,Denied,Sound even weight always late able size audience.,05-12-2024,POL21795687
CLM40368548,25-03-2022,18166,Pending,Matter young society role news key.,,POL33737447
CLM43940975,13-06-2020,86887,Denied,Realize draw perhaps none exactly.,19-08-2020,POL78017200
CLM43598172,05-12-2021,7634,Approved,Catch garden once item dream.,21-01-2022,POL08617665
CLM96210901,30-07-2022,30443,Pending,Give animal rate hear.,09-10-2022,POL48662696
CLM42660647,11-01-2020,36525,Pending,Brother lose change should.,04-04-2020,POL22750173
CLM34759826,03-05-2024,14630,Pending,Owner weight perform leader tough such her.,,POL36934313
CLM00927074,13-01-2023,29535,Approved,The level note office bar.,,POL70586146
CLM03987665,20-02-2023,58475,Denied,Manage many industry.,,POL01744770
CLM82368159,30-12-2019,95147,Approved,She adult test institution specific type security.,19-03-2020,POL29059161
CLM09523295,16-10-2020,50563,Denied,Example analysis specific lay.,14-01-2021,POL95475973
CLM36776208,22-11-2020,11133,Approved,Them official chance forget fill.,15-12-2020,POL25107234
CLM89634210,08-03-2022,4322,Denied,Star off office view hope year suggest.,04-05-2022,POL60770959
CLM60704196,17-12-2022,92197,Denied,Strategy Mr reach idea court.,,POL45280706
CLM16772071,12-05-2023,40270,Pending,Send high military become down hair capital.,01-07-2023,POL39337647
CLM18685875,27-06-2022,77886,Denied,Morning today memory room rich none.,21-07-2022,POL02913059
CLM95026277,15-07-2020,19424,Approved,Rather about vote class price.,,POL03121117
CLM71159390,24-09-2020,39516,Denied,Determine responsibility conference better.,23-11-2020,POL22897699
CLM06911933,07-06-2020,90940,Approved,Determine his baby person.,18-07-2020,POL42360341
CLM91227314,22-09-2021,52924,Approved,Challenge why body pressure long your those.,08-11-2021,POL55586584
CLM60889262,29-12-2019,67829,Approved,Cup part carry cause serve drop.,25-01-2020,POL67344222
CLM91771251,30-01-2023,8243,Pending,Recognize role bad she.,,POL18101915
CLM49555095,06-03-2024,18432,Pending,Upon light practice certainly whose current.,15-04-2024,POL75806090
CLM54317614,21-01-2023,36545,Approved,Away with general have radio recently natural.,,POL97116121
CLM76313070,21-10-2020,56063,Pending,Sure show conference industry activity suddenly.,13-11-2020,POL83596471
CLM41583773,17-03-2021,97570,Denied,Owner power administration.,08-05-2021,POL37628555
CLM22397302,27-10-2022,4281,Approved,War ready customer amount.,08-12-2022,POL41162519
CLM60895932,29-12-2019,32318,Approved,Open human budget civil city.,09-03-2020,POL63187776
CLM57840670,04-08-2020,60512,Approved,Local second system child there character three.,,POL47409156
CLM52102577,07-01-2021,99188,Pending,Debate beyond service expect past sport.,12-03-2021,POL41257003
CLM43404224,13-08-2021,97778,Denied,Hundred game life commercial shoulder news history begin.,,POL32001025
CLM73236319,13-01-2022,3733,Pending,Congress close lead series describe.,15-03-2022,POL25339559
CLM30698176,09-09-2023,44577,Pending,Any figure product reach current.,01-11-2023,POL32215970
CLM95997228,06-10-2021,2527,Approved,Quite floor painting foreign guy.,03-01-2022,POL71169830
CLM68295365,19-12-2020,99477,Approved,Ago hope kitchen coach computer north near.,,POL80143604
CLM20080225,17-10-2020,93057,Denied,Least cup take nation onto.,10-12-2020,POL98344452
CLM27107877,03-03-2022,32264,Denied,Help meeting coach probably drug which tough.,03-05-2022,POL83352802
CLM63702722,18-01-2022,57699,Denied,Mouth suggest by of.,25-03-2022,POL53549003
CLM92533634,20-12-2021,9415,Pending,Side our case animal space call.,06-01-2022,POL17217470
CLM95924320,20-04-2021,80098,Denied,Present ready who several.,02-07-2021,POL19177817
CLM48561992,11-07-2021,98394,Pending,Month at customer determine here face job.,13-08-2021,POL30994827
CLM10269177,27-02-2021,16201,Pending,Huge child beat war simply body wind.,05-04-2021,POL27592722
CLM81196298,05-11-2020,37683,Denied,Citizen kind view much own trial lose.,20-01-2021,POL88929117
CLM64607392,18-06-2023,12156,Pending,Ever alone suffer require ask.,11-07-2023,POL97188917
CLM56747366,02-10-2022,65509,Approved,Red pass dinner memory bit.,26-12-2022,POL31589660
CLM34671714,16-06-2020,54674,Pending,Charge day use movement herself class.,12-09-2020,POL72485507
CLM94325847,11-02-2020,16898,Denied,Its network forward medical admit oil beautiful contain.,16-03-2020,POL33132201
CLM62727408,28-03-2021,37057,Approved,Discussion when without speak fear bring rise five.,,POL91301507
CLM36153191,28-11-2022,42304,Approved,Every effect try baby over.,,POL71278302
CLM80462002,27-05-2023,2187,Denied,Stuff scene buy it painting.,12-06-2023,POL68847136
CLM52330620,17-05-2024,41488,Denied,Fight listen start attorney.,02-08-2024,POL31639522
CLM54501017,13-07-2024,21836,Denied,Tree past listen pull wife.,,POL74599769
CLM20650036,29-08-2024,63556,Pending,American stuff low high cause ball.,11-11-2024,POL18133239
CLM62634823,01-12-2023,52392,Pending,Wide little begin management reveal.,,POL95333136
CLM20692028,01-08-2022,56093,Approved,Smile long list consider.,18-10-2022,POL40918381
CLM15851869,05-02-2021,66130,Pending,Manage cut production local consider scene.,,POL23603808
CLM54513210,25-01-2020,44526,Denied,Old Republican television.,19-03-2020,POL31133103
CLM70236700,20-12-2022,18194,Pending,Drug artist small sit other.,20-01-2023,POL11213350
CLM99053857,14-07-2021,37117,Pending,Night audience word create range.,07-10-2021,POL81019998
CLM05807127,03-09-2023,31573,Denied,President hospital score over.,,POL63461298
CLM02282039,17-08-2022,81100,Approved,Million audience second quality into.,13-10-2022,POL69578293
CLM95288471,21-09-2022,22931,Denied,Myself notice vote find charge along.,,POL78314103
CLM39233541,14-12-2023,52901,Denied,Account door skin company history develop center.,29-01-2024,POL95639712
CLM33179217,26-01-2021,16210,Denied,Available poor process Mr.,02-03-2021,POL27980219
CLM88627174,04-07-2022,6955,Approved,Choice do produce scientist listen run.,13-08-2022,POL42505976
CLM08995760,23-05-2020,22451,Approved,Deep truth impact particular fact themselves.,07-06-2020,POL64256700
CLM70719879,29-11-2023,14444,Pending,Name concern six somebody.,,POL66631189
CLM81002913,27-11-2020,22248,Denied,Could morning start vote call company service.,,POL82137065
CLM19322142,15-01-2020,78293,Pending,Activity its clearly second real body.,29-02-2020,POL76043297
CLM96770739,28-04-2021,8649,Pending,Of experience career final great personal least.,26-06-2021,POL51514265
CLM81349423,22-05-2022,11590,Approved,What join determine right.,,POL78113526
CLM91091553,02-09-2020,30128,Denied,Law baby think.,29-11-2020,POL83477672
CLM73663781,11-05-2021,33533,Denied,Around trade cover task interesting tax those phone.,,POL23308648
CLM70107207,08-12-2024,59954,Pending,Reflect tell seven technology offer able.,22-02-2025,POL74506974
CLM24444107,03-09-2021,51389,Denied,Former role son pattern begin figure yes under.,26-11-2021,POL20029148
CLM84027739,11-01-2024,13207,Pending,Condition save international conference.,07-03-2024,POL44850934
CLM17818618,15-11-2022,81856,Denied,Drive state low west other seven.,21-12-2022,POL45468849
CLM50787300,18-12-2020,79415,Denied,Still feeling near imagine everybody age music.,,POL47336501
CLM24849413,10-11-2022,88519,Denied,Human yeah few body each.,23-01-2023,POL13345815
CLM31113739,20-09-2021,38203,Approved,Cost bad analysis.,23-11-2021,POL27188629
CLM69881105,27-02-2021,14422,Denied,Which interest push community guy suffer require.,12-03-2021,POL17282682
CLM91886229,11-09-2020,85875,Approved,Fine window prove true catch.,15-10-2020,POL32669675
CLM50197132,11-05-2024,54524,Denied,Month charge new me song chance open himself.,23-05-2024,POL64702950
CLM90852142,03-06-2023,4928,Denied,Per property wife.,,POL46263397
CLM18459129,30-03-2023,64995,Pending,Back continue school.,12-04-2023,POL23964698
CLM30379768,16-04-2024,84555,Denied,Resource anyone modern health certain back.,01-05-2024,POL87334776
CLM78787211,26-11-2022,67820,Denied,Drop century that interesting look.,03-02-2023,POL01888346
CLM81174786,01-10-2023,62091,Approved,Though customer region size energy.,24-12-2023,POL89576605
CLM39460655,13-07-2022,28534,Pending,Almost whatever have ago.,26-09-2022,POL96760097
CLM23020227,16-11-2023,74675,Denied,Trial nation we last.,11-12-2023,POL83051800
CLM55197703,24-10-2023,18230,Pending,Deep light hospital.,,POL49077462
CLM59523665,01-03-2021,50002,Denied,Create subject by science claim seat.,,POL94782191
CLM97374242,11-03-2024,22424,Pending,Keep another fine.,,POL76405797
CLM15284421,19-06-2022,15670,Denied,Condition year environmental free.,,POL77178021
CLM27999930,08-11-2023,27274,Pending,Heavy share sign difficult seat land.,29-11-2023,POL81937503
CLM04647533,03-04-2021,30620,Denied,Air baby concern trade five together.,,POL57020176
CLM76913073,25-09-2021,96735,Approved,Brother late stay.,06-11-2021,POL68947456
CLM92938665,09-07-2023,8918,Pending,Group fine set site popular can true.,02-08-2023,POL82827765
CLM55390846,16-01-2022,82767,Denied,Represent power challenge government become unit serious reflect.,,POL78800512
CLM66995118,02-05-2022,99936,Denied,Factor not view data.,24-05-2022,POL79206629
CLM42895388,22-09-2022,66467,Approved,Already mention somebody turn thus.,06-10-2022,POL82409345
CLM76225198,21-08-2020,56066,Approved,Price market ready own skill and idea.,,POL43471833
CLM86964786,14-12-2020,59325,Pending,Me product main like manager.,31-12-2020,POL23057519
CLM04535522,04-12-2021,31385,Denied,Design century economy.,01-01-2022,POL83094866
CLM15393513,17-02-2020,31603,Approved,Officer statement idea bit since.,,POL34341867
CLM28621043,03-04-2024,2292,Pending,Degree avoid but serious popular technology foot.,30-04-2024,POL87523514
CLM86966251,24-11-2020,18009,Pending,Difficult agent cause.,17-12-2020,POL64204852
CLM71900058,19-01-2024,69896,Denied,Quality assume event term any ground participant.,,POL19547339
CLM72744516,28-08-2021,23205,Approved,Gun direction sport reach production result religious.,16-10-2021,POL67712226
CLM51177007,19-05-2022,96575,Pending,Officer better fly couple begin.,,POL94568655
CLM45371032,31-05-2020,67010,Denied,Claim approach half ball open base.,14-06-2020,POL97852810
CLM93171206,15-04-2023,9206,Denied,Western kitchen Mr her billion type least.,27-06-2023,POL87558325
CLM89393742,04-02-2022,62685,Pending,Executive former onto art.,11-04-2022,POL23689303
CLM92761859,19-06-2023,54329,Pending,Heart watch east religious.,05-07-2023,POL17837045
CLM49019023,25-07-2021,67501,Pending,Trial property democratic set figure civil listen.,,POL66757828
CLM90164679,30-11-2020,41621,Pending,Decision sense respond price chance investment.,05-02-2021,POL56889817
CLM44473153,13-01-2021,21422,Approved,Player staff page participant enjoy.,23-02-2021,POL01378372
CLM29662958,15-07-2020,1035,Denied,Process spring stage road imagine.,13-08-2020,POL52535973
CLM38406921,01-05-2022,74146,Pending,Discussion someone business dark concern treat.,,POL14138519
CLM33994568,10-12-2024,27259,Approved,Enter skill use final usually worker movement.,24-01-2025,POL64120254
CLM73058537,11-12-2021,41646,Pending,Month sometimes tonight left sign country.,,POL86311046
CLM14797862,06-12-2021,17546,Pending,Onto thing talk control.,,POL45394277
CLM29407235,22-05-2023,92253,Approved,Experience try defense color wrong.,17-06-2023,POL50447483
CLM55269750,05-07-2020,15823,Pending,American might loss citizen.,,POL45984534
CLM41758835,28-08-2021,25081,Approved,Institution team could anything something alone whatever.,11-10-2021,POL27597307
CLM05894499,07-11-2022,10480,Pending,Kid if and rest window.,,POL74728288
CLM75700238,10-11-2024,18922,Pending,Score fly manage seem provide west.,30-11-2024,POL66521872
CLM94449037,01-01-2023,44851,Pending,Arm I share rise call.,01-02-2023,POL28573734
CLM25215403,14-06-2023,87110,Approved,Ever rest sound impact.,28-06-2023,POL82827765
CLM72356947,30-10-2023,7448,Denied,Letter admit push boy.,23-01-2024,POL27691978
CLM19117146,11-05-2024,94235,Approved,Author environmental natural present.,28-07-2024,POL16767131
CLM35439098,10-01-2020,45084,Pending,Campaign technology phone writer shoulder culture.,13-02-2020,POL32232315
CLM81342430,15-09-2021,5741,Approved,Example fall success sense energy.,,POL43732564
CLM32328269,14-01-2024,2502,Pending,Political professor begin.,,POL73536906
CLM79300248,29-11-2022,2288,Approved,Sing everyone rather discuss culture.,20-12-2022,POL82494167
CLM27973762,05-06-2024,44873,Pending,Individual consider land born laugh real toward.,,POL25517652
CLM73690357,11-03-2023,29214,Denied,Moment person save.,,POL93990309
CLM57641698,29-08-2020,90094,Approved,Tree have institution maintain democratic officer.,02-11-2020,POL26404554
CLM84107925,28-09-2023,48687,Denied,Society task as pressure training particular.,,POL36565456
CLM39557775,01-09-2022,34821,Pending,Paper threat air.,26-11-2022,POL74295287
CLM64221738,20-07-2020,23924,Denied,Weight week effort easy development center.,,POL46163995
CLM94168987,11-03-2022,43459,Approved,Race test health return artist.,08-04-2022,POL38913667
CLM65090296,20-02-2021,88966,Denied,Current reality especially garden everybody use.,,POL25201250
CLM57539483,14-01-2021,18420,Pending,Production building certainly movement drug know.,,POL98372511
CLM90033778,26-05-2024,10218,Approved,Writer discussion trade husband may.,,POL31482176
CLM81582284,19-11-2021,26637,Pending,Today forward talk on friend.,,POL57167179
CLM86803606,23-08-2022,87843,Denied,Meeting cell food other pattern cold.,,POL64674789
CLM66996097,10-01-2021,88023,Pending,Next region condition control financial able section.,,POL00098040
CLM27984175,17-04-2022,49720,Pending,Road end water somebody very north should.,,POL19188778
CLM57104970,16-10-2023,68044,Denied,Property building still of.,,POL38512389
CLM54349950,29-11-2020,89842,Denied,Own page including everybody maybe.,07-01-2021,POL05174448
CLM83325725,06-03-2020,65667,Pending,Result day situation whole religious deep try.,25-03-2020,POL46435605
